DistrictName,ginivalue
LAWNGTLAI,0.25
MAMIT,0.26
SERCHHIP,0.25
SAIHA,0.25
MIZORAM,0.27
MON,0.19
LONGLENG,0.22
KOHIMA,0.21
TUENSANG,0.2
PEREN,0.2
KIPHIRE,0.19
PHEK,0.21
DIMAPUR,0.24
MOKOKCHUNG,0.18
ZUNHEBOTO,0.2
WOKHA,0.23
NAGALAND,0.22
NORTH,0.34
EAST,0.34
NEW DELHI,0.34
WEST,0.34
SOUTH WEST,0.34
SOUTH,0.34
NORTH WEST,0.36
NORTH EAST,0.22
CENTRAL,
DELHI,0.34
DHENKANAL,0.24
CUTTACK,0.29
KENDRAPARA,0.21
ANGUL,0.26
PURI,0.22
KHORDHA,0.4
JAJPUR,0.24
JAGATSINGHPUR,0.24
BHADRAK,0.19
JHARSUGUDA,0.34
SAMBALPUR,0.31
GANJAM,0.27
BARGARH,0.24
BALESHWAR,0.27
NAYAGARH,0.26
BALANGIR,0.22
DEBAGARH,0.29
KENDUJHAR,0.3
GAJAPATI,0.29
RAYAGADA,0.24
SUBARNAPUR,0.23
KANDHAMAL,0.26
SUNDARGARH,0.37
NUAPADA,0.17
KALAHANDI,0.24
BAUDH,0.19
MAYURBHANJ,0.25
KORAPUT,0.33
NABARANGAPUR,0.28
MALKANGIRI,0.21
ODISHA,0.3
PUDUCHERRY,0.32
YANAM,0.32
MAHE,0.32
KARAIKAL,0.31
PONDICHERRY,0.32
FATEHGARH SAHIB,0.32
RUPNAGAR,0.31
PATIALA,0.32
SAHIBZADA AJIT SINGH,0.36
NAGAR MOHALI MANSA,0.26
KAPURTHALA,0.33
NAWANSHAHR,0.29
HOSHIARPUR,0.26
GURDASPUR,0.26
JALANDHAR,0.33
MOGA,0.27
TARN TARAN,0.31
FARIDKOT,0.31
BARNALA,0.31
FIROZPUR,0.3
SANGRUR,0.35
LUDHIANA,0.29
BATHINDA,0.32
MUKTSAR,0.26
AMRITSAR,0.3
PUNJAB,0.31
JHUNJHUNU,0.23
JAIPUR,0.32
PALI,0.2
SIKAR,0.26
HANUMANGARH,0.24
CHURU,0.21
JODHPUR,0.37
DAUSA,0.22
TONK,0.29
GANGANAGAR,0.25
BIKANER,0.29
BARMER,0.25
ALWAR,0.39
JALOR,0.25
KOTA,0.28
NAGAUR,0.22
AJMER,0.31
BHILWARA,0.24
RAJSAMAND,0.24
JAISALMER,0.2
CHITTAURGARH,0.3
SAWAI MADHOPUR,0.21
UDAIPUR,0.28
BUNDI,0.24
JHALAWAR,0.2
KARAULI,0.23
BARAN,0.2
BANSWARA,0.27
DHAULPUR,0.25
SIROHI,0.29
BHARATPUR,0.25
DUNGARPUR,0.24
PRATAPGARH,
RAJASTHAN,0.29
EAST DISTRICT,0.28
WEST DISTRICT,0.19
SOUTH DISTRICT,0.24
NORTH DISTRICT,0.24
SIKKIM,0.26
THIRUVALLUR,0.3
CHENNAI,0.34
THANJAVUR,0.28
THIRUVARUR,0.23
NAMAKKAL,0.32
NAGAPATTINAM,0.26
KANYAKUMARI,0.36
TIRUCHIRAPPALLI,0.29
KANCHEEPURAM,0.31
COIMBATORE,0.34
PUDUKKOTTAI,0.27
PERAMBALUR,0.27
ARIYALUR,0.24
ERODE,0.31
KARUR,0.3
DINDIGUL,0.28
MADURAI,0.28
THENI,0.24
TIRUNELVELI,0.28
VELLORE,0.28
RAMANATHAPURAM,0.25
THOOTHUKUDI,0.2
SALEM,0.26
TIRUVANNAMALAI,0.29
DHARMAPURI,0.32
SIVAGANGA,0.27
VIRUDHUNAGAR,0.27
THE NILGIRIS,0.3
KRISHNAGIRI,0.39
CUDDALORE,0.27
VILUPPURAM,0.27
TIRUPPUR,
TAMIL NADU,0.33
MEDAK,0.23
RANGAREDDY,0.31
MAHBUBNAGAR,0.25
KARIMNAGAR,0.2
ADILABAD,0.37
NIZAMABAD,0.27
WARANGAL,0.23
KHAMMAM,0.23
HYDERABAD,0.26
NALGONDA,0.32
TELANGANA,0.17
DHALAI,0.17
NORTH TRIPURA,0.24
SOUTH TRIPURA,0.24
WEST TRIPURA,0.27
TRIPURA,0.25
GHAZIABAD,0.4
GAUTAM BUDDHA,0.47
NAGAR MUZAFFARNAGAR,0.27
MEERUT,0.46
AURAIYA,0.19
PILIBHIT,0.25
SAHARANPUR,0.26
HATHRAS,0.25
ALIGARH,0.28
BULANDSHAHR,0.26
MATHURA,0.23
KANPUR DEHAT,0.2
JHANSI,0.34
BAGHPAT,0.28
DEORIA,0.31
SHRAWASTI,0.15
JYOTIBA PHULE NAGAR,0.24
SULTANPUR,0.31
VARANASI,0.32
ETAWAH,0.21
LALITPUR,0.23
KANPUR NAGAR,0.33
BAREILLY,0.27
GHAZIPUR,0.24
KUSHINAGAR,0.24
GORAKHPUR,0.32
LUCKNOW,0.42
KHERI,0.24
BIJNOR,0.25
SIDDHARTHNAGAR,0.27
FARRUKHABAD,0.24
AGRA,0.26
MORADABAD,0.27
SANT KABIR NAGAR,0.25
CHANDAULI,0.3
ALLAHABAD,0.37
VARANASI,0.32
ETAWAH,0.21
LALITPUR,0.23
KANPUR NAGAR,0.33
BAREILLY,0.27
GHAZIPUR,0.24
KUSHINAGAR,0.24
GORAKHPUR,0.32
LUCKNOW,0.42
KHERI,0.24
BIJNOR,0.25
SIDDHARTHNAGAR,0.27
FARRUKHABAD,0.24
AGRA,0.26
MORADABAD,0.27
SANT KABIR NAGAR,0.25
CHANDAULI,0.3
ALLAHABAD,0.37
BUDAUN,0.22
SHAHJAHANPUR,0.21
BAHRAICH,0.24
KANSHIRAM NAGAR,0.29
FIROZABAD,0.24
MAHOBA,0.26
BALLIA,0.27
MIRZAPUR,0.28
HARDOI,0.21
JAUNPUR,0.23
UNNAO,0.27
AMBEDKAR NAGAR,0.22
ETAH,0.3
RAMPUR,0.21
JALAUN,0.28
BALRAMPUR,0.2
GONDA,0.24
MAHARAJGANJ,0.26
BARABANKI,0.19
CHITRAKOOT,0.17
SITAPUR,0.26
AZAMGARH,0.27
FATEHPUR,0.19
BASTI,0.31
FAIZABAD,0.39
SONBHADRA,0.27
MAINPURI,0.25
RAE BARELI,0.22
PRATAPGARH,0.23
HAMIRPUR,0.24
MAU,0.28
BANDA,0.22
KAUSHAMBI,0.27
SANT RAVIDAS NAGAR,0.24
BHADOHI KANNAUJ,0.25
UTTAR PRADESH,0.31
CHAMOLI,0.2
RUDRAPRAYAG,0.19
TEHRI GARHWAL,0.2
PITHORAGARH,0.25
BAGESHWAR,0.26
UTTARKASHI,0.21
DEHRADUN,0.28
HARIDWAR,0.48
GARHWAL,0.26
ALMORA,0.27
CHAMPAWAT,0.29
UDHAM SINGH NAGAR,0.3
NAINITAL,0.33
UTTARAKHAND,0.35
KOLKATA,0.4
JALPAIGURI,0.22
DARJEELING,0.28
NORTH TWENTY FOUR,0.38
PARGANAS HAORA,0.31
PURBA MEDINIPUR,0.32
MALDAH,0.26
SOUTH TWENTY FOUR,0.29
PARGANAS KOCH BIHAR,0.2
PASCHIM MEDINIPUR,0.28
BIRBHUM,0.24
MURSHIDABAD,0.22
BANKURA,0.25
BARDDHAMAN,0.31
DAKSHIN DINAJPUR,0.24
HUGLI,0.28
NADIA,0.25
UTTAR DINAJPUR,0.28
PURULIYA,0.23
WEST BENGAL,0.33
